City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,275.49,86,100,6.54,SJ,1696030288
1,port-aux-francais,-49.35,70.2167,274.16,71,12,18.42,TF,1696030273
2,grytviken,-54.2811,-36.5092,272.0,88,18,3.86,GS,1696030016
3,waitangi,-43.9535,-176.5597,285.83,79,100,3.13,NZ,1696030423
4,adamstown,-25.066,-130.1015,293.81,83,21,10.18,PN,1696030274
5,garoua boulai,5.8833,14.55,291.72,96,99,0.84,CM,1696030423
6,bilibino,68.0546,166.4372,268.82,91,99,2.4,RU,1696030280
7,san patricio,28.017,-97.5169,305.67,61,16,6.1,US,1696030315
8,tiksi,71.6872,128.8694,271.55,84,100,6.5,RU,1696030016
9,yellowknife,62.456,-114.3525,281.16,65,75,2.57,CA,1696030290
10,petropavlovsk-kamchatsky,53.0452,158.6483,279.48,70,0,2.0,RU,1696030235
11,khovd,48.0056,91.6419,276.48,60,53,2.37,MN,1696030424
12,ola,59.5833,151.2833,279.7,86,100,1.99,RU,1696030424
13,ilulissat,69.2167,-51.1,273.16,86,100,0.0,GL,1696030284
14,barah,13.7,30.3667,304.06,42,7,2.94,SD,1696030424
15,severo-yeniseyskiy,60.3725,93.0408,276.89,94,99,4.22,RU,1696030424
16,puerto natales,-51.7236,-72.4875,278.08,86,100,1.69,CL,1696030425
17,thaba-tseka,-29.522,28.6084,284.03,32,26,2.6,LS,1696030425
18,edinburgh of the seven seas,-37.0676,-12.3116,283.97,88,100,14.91,SH,1696030275
19,varginha,-21.5514,-45.4303,293.65,67,62,4.18,BR,1696030425
20,altai,46.3722,96.2583,272.34,49,31,1.23,MN,1696030425
21,papatowai,-46.5619,169.4708,279.86,73,97,8.59,NZ,1696030023
22,arraial do cabo,-22.9661,-42.0278,294.07,78,75,6.17,BR,1696030282
23,aracuai,-16.8497,-42.0703,297.27,64,6,3.65,BR,1696030426
24,castel di sangro,41.7737,14.1035,287.61,69,0,1.92,IT,1696030426
25,fort bragg,35.139,-79.006,295.83,80,20,2.57,US,1696030303
26,tyazhinskiy,56.116,88.524,277.63,95,38,2.64,RU,1696030426
27,invercargill,-46.4,168.35,280.38,81,83,8.05,NZ,1696030233
28,anadyr,64.75,177.4833,279.43,86,75,4.0,RU,1696030028
29,mount pearl,47.5166,-52.7813,283.34,85,75,1.03,CA,1696030322
30,natal,-5.795,-35.2094,298.51,83,40,4.12,BR,1696030228
31,tan-tan,28.438,-11.1032,295.65,73,13,2.51,MA,1696030427
32,bethel,41.3712,-73.414,287.2,89,100,5.14,US,1696030272
33,west island,-12.1568,96.8225,298.14,83,75,7.2,CC,1696030427
34,puerto ayora,-0.7393,-90.3518,296.79,89,45,2.24,EC,1696030011
35,barreiro do jaiba,-15.6167,-43.6,300.73,46,13,4.54,BR,1696030427
36,port mathurin,-19.6833,63.4167,295.86,65,66,7.75,MU,1696030027
37,port alfred,-33.5906,26.891,289.92,83,89,3.1,ZA,1696030153
38,ushuaia,-54.8,-68.3,282.96,46,0,4.63,AR,1696030277
39,sitka,57.0531,-135.33,286.09,62,100,2.06,US,1696030313
40,karratha,-20.7377,116.8463,303.04,22,54,7.88,AU,1696030289
41,sinabang,2.4803,96.3801,299.35,84,96,3.28,ID,1696030043
42,whitehorse,60.7161,-135.0538,282.09,80,100,0.45,CA,1696030274
43,thompson,55.7435,-97.8558,286.24,71,75,1.54,CA,1696030214
44,timimoun,29.2639,0.231,299.36,27,0,7.2,DZ,1696030428
45,albany,42.6001,-73.9662,287.92,92,100,0.99,US,1696030237
46,vorgashor,67.5833,63.95,272.74,79,97,2.36,RU,1696030052
47,ballina,-28.8667,153.5667,297.47,61,7,4.01,AU,1696030429
48,bredasdorp,-34.5322,20.0403,289.14,66,86,7.23,ZA,1696030289
49,ust-nera,64.5667,143.2,271.0,72,14,1.75,RU,1696030305
50,khorixas,-20.3667,14.9667,291.41,38,0,1.42,NA,1696030429
51,iqaluit,63.7506,-68.5145,275.0,87,100,6.17,CA,1696030429
52,cave creek,33.8333,-111.9508,309.71,12,0,2.24,US,1696030430
53,bubaque,11.2833,-15.8333,301.37,79,53,4.37,GW,1696030430
54,hermanus,-34.4187,19.2345,288.7,79,92,8.21,ZA,1696030290
55,lebu,-37.6167,-73.65,283.8,89,0,4.79,CL,1696030318
56,mammoth lakes,37.6485,-118.9721,290.55,39,0,9.77,US,1696030430
57,tura,25.5198,90.2201,296.88,95,98,1.9,IN,1696030015
58,uturoa,-16.7333,-151.4333,298.87,78,64,8.03,PF,1696030064
59,forster,-32.1667,152.5167,297.75,54,0,3.5,AU,1696030430
60,quellon,-43.1167,-73.6167,279.69,82,34,3.16,CL,1696030318
61,carnarvon,-24.8667,113.6333,292.69,67,2,10.99,AU,1696030328
62,east london,-33.0153,27.9116,293.37,63,98,2.36,ZA,1696030431
63,callao,-12.0667,-77.15,294.66,72,40,4.12,PE,1696030292
64,hawaiian paradise park,19.5933,-154.9731,302.88,76,0,3.6,US,1696030294
65,vilyuchinsk,52.9306,158.4028,280.3,55,100,0.86,RU,1696030332
66,klyuchi,52.2667,79.1667,283.12,72,52,1.35,RU,1696030332
67,lihue,21.9789,-159.3672,301.89,72,40,6.17,US,1696030314
68,blackmans bay,-43.0167,147.3167,290.22,62,93,1.35,AU,1696030273
69,saipan,15.1355,145.701,302.54,79,20,1.54,MP,1696030028
70,fort st. john,56.2499,-120.8529,282.09,81,100,2.57,CA,1696030432
71,kerikeri,-35.2268,173.9474,285.63,73,53,8.01,NZ,1696030432
72,ginir,7.1333,40.7,289.49,78,72,1.65,ET,1696030306
73,la passe,45.5549,-0.8967,293.28,91,96,1.95,FR,1696030432
74,new norfolk,-42.7826,147.0587,290.88,45,97,3.91,AU,1696030433
75,hamilton,39.1834,-84.5333,296.61,77,0,1.54,US,1696029987
76,walvis bay,-22.9575,14.5053,285.42,93,1,3.09,NA,1696030433
77,antofagasta,-23.65,-70.4,288.75,80,35,2.74,CL,1696030185
78,chios,38.3678,26.1358,294.89,73,1,4.96,GR,1696030433
79,touros,-5.1989,-35.4608,298.24,76,80,7.66,BR,1696030298
80,coihueco,-36.6167,-71.8333,291.56,52,0,3.09,CL,1696030316
